rank,name,address,city,state,zip_code,phn_nbr,website,tckr,ipo_yr,yr_founded,gen_buss_desc,curr_top_exec,yr_estblsh,austin_staff_cnt,comp_staff_cnt,tot_local_emp_cnt,exchng,lat,lng,industry,sector,marketcap
1,Whole Foods Market Inc.,550 Bowie St.,Austin,TX,78703,512-476-1206,wholefoodsmarket.com,WFMI,1992,1980.0,"Retail grocery of natural and organic foods; operates 431 stores:U.S. (412), Canada (10), U.K.(9)","John  Mackey,  CEO",1980.0,3000.0,87000,2530.0,Nasdaq,30.2706347,-97.7528921,unknown,unknown,0
2,National Instruments Corp.,11500 N. MoPac Expy.,Austin,TX,78759,512-683-0100,ni.com,NATI,1995,1976.0,"Designs, manufactures and sells tools to engineers and scientists, equipping them with systems that accelerate productivity, innovation and discovery ","Alex  Davern,  President/CEO",1976.0,2500.0,7552,2600.0,Nasdaq,30.4083821,-97.7262444,Application Software,Technology,6679636113
3,Cirrus Logic Inc.,800 W. Sixth St.,Austin,TX,78701,512-851-4000,cirrus.com,CRUS,1989,1984.0,"Semiconductor developing high-precision, analog and mixed-signal integrated circuits for audio and energy applications","Jason  Rhode,  President/CEO",1984.0,740.0,1291,680.0,Nasdaq,30.2708146,-97.7506641,Semiconductors,Technology,2803960147
4,American Campus Communities Inc.,12700 Hill Country Blvd.,Austin,TX,78738,512-732-1000,AmericanCampus.com,ACC,2004,1993.0,Real estate investment trust (REIT) owns manages and develops high quality student housing properties,"William  Bayless,  President/CEO",1993.0,375.0,3170,397.0,NYSE,30.3090124,-97.9413249,REITs,Real Estate,5102351324
5,EZCorp Inc.,2500 Bee Cave Rd. Bldg. 1-200,Austin,TX,78746,512-314-3400,ezcorp.com,EZPW,1991,1989.0,"Provides pawn loans and consumer loans in the U.S,, Mexico and Canada","Stuart  Grimshaw,  CEO",1989.0,240.0,5600,270.0,Nasdaq,30.2681186,-97.7845456,Credit Services,Financial Services,716207084
6,Silicon Laboratories Inc.,400 W. Cesar Chavez St.,Austin,TX,78701,512-416-8500,silabs.com,SLAB,2000,1996.0,Designs mixed-signal integrated circuits and provides semiconductor and software products for the Internet of Things market,"Tyson  Tuttle,  CEO",1996.0,650.0,1252,600.0,Nasdaq,30.2648128,-97.7484564,Semiconductors,Technology,4061583961
7,National Western Life Group Inc.,850 E. Anderson Ln.,Austin,TX,78752,512-836-1010,nationalwesternlife.com,NWLI,1978,1963.0,Life insurance company,"Ross  Moody,  CEO/President",1963.0,270.0,270,261.0,Nasdaq,30.33874,-97.6976923,Insurance - Life,Financial Services,1108157950
8,Parsley Energy LLC,303 Colorado St.,Austin,TX,78701,512-505-5131,parsleyenergy.com,PE,2014,2008.0,"Indep. oil & gas exploration and production company focused on the acquisition, development and exploitation of unconventional reserves in the Permian Basin","Bryan  Sheffield,  President/CEO",2008.0,0.0,298,111.0,NYSE,30.2658296,-97.744641,Oil & Gas - E&P,Energy,8240124079
9,Chuy's Holdings Inc.,1623 Toomey Rd.,Austin,TX,78704,512-473-2783,chuys.com,CHUY,2012,1982.0,Full-service Tex Mex restaurant concept ,"Steven  Hislop,  President/CEO",1982.0,893.0,8200,250.0,Nasdaq,30.2643533,-97.7612369,Restaurants,Consumer Cyclical,460052558
10,Thermon Group Holdings Inc.,100 Thermon Dr.,San Marcos,TX,78666,512-396-5801,thermon.com,THR,2011,1954.0,Provider of highly engineered thermal solutions for process industries,"Bruce  Thames,  President/CEO",1954.0,450.0,1021,0.0,NYSE,29.8538875,-97.9577965,Industrial Products,Industrials,727200656
